town,page,url,property_type,price,address,postal_code,city,bedrooms,bedroom1_surface,bedroom2_surface,bathrooms,toilets,surface_livable,terrace,terrace_surface,terrace_orientation,floor,year_built,condition,kitchen_equipment,cellar,glazing_type,elevator,entry_phone,epc_score,epc_total,epc_valid_until
verviers,1,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbc87999,Residence,Make offer from 199 000 €,Rue de Mangombroux 198 4800 Verviers,198,Verviers,2,16 m²,12 m²,1,2,96 m²,Yes,,,,1850,Excellent,Fully equipped,,Double glass,No,,239 kWh/m²/year,26998 kWh/year,
verviers,1,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbc88340,Residence,290 000 €,Rue Rogier 9 4800 Verviers,9,Verviers,2,,,1,2,198 m²,Yes,,,,,Normal,,No,,No,,434 kWh/m²/year,,25/05/2035
verviers,1,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbc88341,Residence,180 000 €,Rue du Viaduc 63 4800 Verviers,63,Verviers,3,,,1,3,214 m²,Yes,26 m²,,,,,,No,,No,,303 kWh/m²/year,,03/05/2035
verviers,1,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbc89098,Residence,259 000 €,Rue du Prince 60 4800 Verviers,60,Verviers,5,12 m²,17 m²,3,3,227 m²,Yes,24 m²,,,,To renovate,,Yes,Double glass,,,417 kWh/m²/year,105931 kWh/year,30/08/2034
verviers,1,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbc90894,Residence,Make offer from 89 000 €,Rue de Mangombroux 88 4800 Verviers,88,Verviers,7,17 m²,14 m²,1,1,165 m²,Yes,,South,,1874,To renovate,,Yes,Double glass,No,,318 kWh/m²/year,52639 kWh/year,22/05/2034
verviers,1,https://immovlan.be/en/detail/residence/for-sale/4801/stembert/vbc30936,Residence,199 000 €,Rue des Champs 119 4801 Stembert,119,Stembert,4,,,1,,,Yes,,,,,Normal,,,,No,,,,
verviers,1,https://immovlan.be/en/detail/residence/for-sale/4801/stembert/vbc89230,Residence,Make offer from 320 000 €,Rue des Champs 34 4801 Stembert,34,Stembert,4,15 m²,13 m²,1,2,172 m²,Yes,30 m²,South-east,,1993,Normal,Fully equipped,,Double glass,No,,355 kWh/m²/year,60872 kWh/year,11/06/2035
verviers,1,https://immovlan.be/en/detail/residence/for-sale/4802/heusy/vbc65779,Residence,175 000 €,Avenue Reine Astrid 237 4802 Heusy,237,Heusy,4,9 m²,11 m²,1,2,122 m²,,,,,1899,To be renovated,,Yes,Double glass,No,,319 kWh/m²/year,35588 kWh/year,17/04/2035
verviers,1,https://immovlan.be/en/detail/residence/in-public-sale/4800/verviers/vbc65854,Residence,Start price 90 000 €,Rue Ma Campagne 303 4800 Verviers,303,Verviers,2,,,1,1,,,,,,,To be renovated,Fully equipped,No,,,,764 kWh/m²/year,,
verviers,2,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc85064,Apartment,149 000 €,Rue des Carrières 34 3 4800 Verviers,34,Verviers,2,,,,1,84 m²,Yes,,,3,,,,,,No,,476 kWh/m²/year,44035 kWh/year,12/10/2033
verviers,2,https://immovlan.be/en/detail/apartment/for-sale/4802/heusy/vbc82165,Apartment,Make offer from 189 000 €,Chaussée de Theux 2-4 4802 Heusy,4802,Heusy,2,12 m²,6 m²,1,1,92 m²,,,,,,Normal,Fully equipped,Yes,,No,,186 kWh/m²/year,17112 kWh/year,04/10/2033
verviers,2,https://immovlan.be/en/detail/apartment/for-sale/4802/heusy/vbc83994,Apartment,210 000 €,Rue du Naimeux 26 4802 Heusy,26,Heusy,2,11 m²,15 m²,1,1,93 m²,Yes,7 m²,,1,1973,Normal,,Yes,Double glass,Yes,,378 kWh/m²/year,,
verviers,2,https://immovlan.be/en/detail/apartment/for-sale/4802/heusy/vbc85882,Apartment,165 000 €,Rue de l'Oiseleur 2 4802 Heusy,2,Heusy,1,13 m²,,1,1,,,,,,,Normal,,No,Double glass,,,162 kWh/m²/year,,
verviers,2,https://immovlan.be/en/detail/bungalow/in-public-sale/4800/verviers/vbc78568,Bungalow,399 000 €,Rue Jean Grandrath 18 4800 Verviers,18,Verviers,3,10 m²,11 m²,1,1,120 m²,Yes,45 m²,,,1970,Normal,Not equipped,Yes,Double glass,,No,337 kWh/m²/year,,
verviers,2,https://immovlan.be/en/detail/loft/for-sale/4800/lambermont/vbc79253,Loft,Make offer from 149 000 €,Rue Francval 22 03 4800 Lambermont,22,Lambermont,2,22 m²,16 m²,1,2,140 m²,,,,,,To renovate,,Yes,,No,,507 kWh/m²/year,60066 kWh/year,01/04/2035
verviers,2,https://immovlan.be/en/detail/loft/for-sale/4800/verviers/vbc72751,Loft,149 000 €,"Rue Fernand Houget 14
4800 Verviers",14,Verviers,3,13 m²,15 m²,2,2,296 m²,,,,2,,Normal,Fully equipped,,Double glass,Yes,Yes,95 kWh/m²/year,28260 kWh/year,27/11/2033
verviers,2,https://immovlan.be/en/detail/master-house/for-sale/4800/verviers/vbc80110,Master,Make offer from 249 500 €,Rue du Palais 47 4800 Verviers,47,Verviers,6,17 m²,17 m²,2,3,294 m²,Yes,15 m²,South-east,,1875,Normal,Fully equipped,Yes,Double glass,No,,242 kWh/m²/year,71309 kWh/year,02/04/2034
verviers,2,https://immovlan.be/en/detail/mixed-building/for-sale/4800/ensival/vbc80524,Mixed,Make offer from 199 000 €,Rue de la Grappe 49 4800 Ensival,49,Ensival,4,12 m²,10 m²,2,3,189 m²,Yes,107 m²,,,,To be renovated,,Yes,Double glass,No,,515 kWh/m²/year,97336 kWh/year,17/03/2035
verviers,2,https://immovlan.be/en/detail/mixed-building/for-sale/4800/verviers/vbc77828,Mixed,485 000 €,Rue des Chapeliers 128 4800 Verviers,128,Verviers,,,,6,6,930 m²,Yes,,,,,,,,,Yes,,,,
verviers,2,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbc80525,Residence,229 000 €,Rue de Stembert 286 4800 Verviers,286,Verviers,3,,,1,,170 m²,Yes,,South-east,,,,Fully equipped,,Double glass,,,370 kWh/m²/year,,23/12/2034
verviers,2,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbc80588,Residence,369 000 €,Rue de Jehanster 33 4800 Verviers,33,Verviers,5,,,1,,233 m²,Yes,7 m²,,,,,,No,,,,229 kWh/m²/year,53343 kWh/year,
verviers,2,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbc82574,Residence,Make offer from 99 000 €,Rue de la Montagne 78 4800 Verviers,78,Verviers,5,15 m²,15 m²,2,2,155 m²,,,,,,To renovate,,,,No,,295 kWh/m²/year,,
verviers,2,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbc82876,Residence,Make offer from 199 000 €,Rue de la Nouvelle Montagne 32 4800 Verviers,32,Verviers,5,17 m²,17 m²,1,3,143 m²,Yes,20 m²,South-west,,1900,Excellent,Fully equipped,,Double glass,No,,278 kWh/m²/year,47913 kWh/year,29/10/2026
verviers,2,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbc84935,Residence,Make offer from 229 000 €,Rue des Hougnes 64 4800 Verviers,64,Verviers,5,10 m²,14 m²,1,1,158 m²,Yes,8 m²,,,1930,To renovate,,,,No,,302 kWh/m²/year,50347 kWh/year,14/04/2033
verviers,2,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbc85000,Residence,219 000 €,Rue Peltzer de Clermont 28 4800 Verviers,28,Verviers,4,,,1,,124 m²,Yes,,,,1850,Fully renovated,,Yes,,,,166 kWh/m²/year,28040 kWh/year,13/10/2024
verviers,2,https://immovlan.be/en/detail/residence/for-sale/4801/stembert/vbb03893,Residence,199 000 €,Rue Simonis 62 4801 Stembert,62,Stembert,3,10 m²,8 m²,1,1,92 m²,Yes,19 m²,,,1918,Normal,Fully equipped,Yes,Double glass,No,,221 kWh/m²/year,34992 kWh/year,08/04/2024
verviers,2,https://immovlan.be/en/detail/residence/for-sale/4801/stembert/vbc84185,Residence,Make offer from 249 000 €,Rue de Jalhay 19A 4801 Stembert,4801,Stembert,3,20 m²,18 m²,1,1,140 m²,Yes,18 m²,,,1972,Normal,Fully equipped,Yes,Double glass,No,,369 kWh/m²/year,60518 kWh/year,21/01/2035
verviers,2,https://immovlan.be/en/detail/residence/for-sale/4801/stembert/vbc84570,Residence,Make offer from 215 000 €,"Rue Grand Ry 26
4801 Stembert",26,Stembert,3,16 m²,11 m²,1,2,188 m²,Yes,15 m²,North-west,,,Excellent,Super equipped,Yes,Double glass,No,,233 kWh/m²/year,43760 kWh/year,22/05/2035
verviers,2,https://immovlan.be/en/detail/residence/for-sale/4802/heusy/vbc79111,Residence,320 000 €,"Fontaine Au Biez 67
4802 Heusy",67,Heusy,3,12 m²,11 m²,1,1,93 m²,Yes,23 m²,,,1970,Normal,Fully equipped,Yes,Double glass,No,,357 kWh/m²/year,42431 kWh/year,20/04/2035
verviers,3,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc73787,Apartment,198 000 €,Rue Laoureux 3 5ème 4800 Verviers,3,Verviers,3,,,1,2,113 m²,Yes,1 m²,,5,,,,,,Yes,,287 kWh/m²/year,39234 kWh/year,14/11/2034
verviers,3,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc73792,Apartment,275 000 €,Rue Henri Pirenne 77 3 4800 Verviers,77,Verviers,2,,,1,1,98 m²,Yes,6 m²,,,,,,No,,Yes,,,,
verviers,3,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc73793,Apartment,268 000 €,Rue Henri Pirenne 77 2 4800 Verviers,77,Verviers,2,,,1,1,94 m²,Yes,6 m²,,,,,,No,,Yes,,,,
verviers,3,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc73794,Apartment,270 000 €,Rue Henri Pirenne 77 104 4800 Verviers,77,Verviers,2,,,1,1,94 m²,Yes,6 m²,,1,,,,No,,Yes,,,,
verviers,3,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc73795,Apartment,275 000 €,Rue Henri Pirenne 77 105 4800 Verviers,77,Verviers,2,,,1,1,98 m²,Yes,6 m²,,1,,,,,,Yes,,,,
verviers,3,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc73797,Apartment,265 000 €,Rue Henri Pirenne 77 207 4800 Verviers,77,Verviers,2,,,1,1,90 m²,Yes,9 m²,,2,,,,No,,Yes,,,,
verviers,3,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc73798,Apartment,236 000 €,Rue Henri Pirenne 77 207 4800 Verviers,77,Verviers,2,,,1,1,77 m²,Yes,9 m²,,2,,,,No,,Yes,,,,
verviers,3,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc73799,Apartment,347 000 €,Rue Henri Pirenne 77 309 4800 Verviers,77,Verviers,3,,,1,1,129 m²,Yes,6 m²,,3,,,,No,,Yes,,,,
verviers,3,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc74606,Apartment,265 000 €,Rue Henri Pirenne 77 207 4800 Verviers,77,Verviers,2,,,1,1,90 m²,Yes,9 m²,,2,,,,,,Yes,,,,
verviers,3,https://immovlan.be/en/detail/loft/for-sale/4800/verviers/vbc74205,Loft,Make offer from 129 000 €,Rue Francval 20 02 4800 Verviers,20,Verviers,2,18 m²,15 m²,1,2,216 m²,,,,,,To be renovated,,,Double glass,No,,667189 kWh/m²/year,125837 kWh/year,01/04/2035
verviers,3,https://immovlan.be/en/detail/loft/for-sale/4800/verviers/vbc76486,Loft,256 000 €,Rue des Chapeliers 133 a 4800 Verviers,133,Verviers,2,46 m²,33 m²,1,1,312 m²,Yes,30 m²,South,3,,Normal,Fully equipped,,Double glass,Yes,Yes,285 kWh/m²/year,78703 kWh/year,27/03/2035
verviers,3,https://immovlan.be/en/detail/residence/for-sale/4800/ensival/vbc62026,Residence,170 000 €,Rue de la paix 26 4800 Ensival,26,Ensival,2,16 m²,15 m²,1,1,115 m²,Yes,16 m²,North-east,,1957,To renovate,Partially equipped,Yes,Double glass,No,,383 kWh/m²/year,49456 kWh/year,13/04/2035
verviers,3,https://immovlan.be/en/detail/residence/for-sale/4800/ensival/vbc76651,Residence,185 000 €,En Mi-ville 48 4800 Ensival,48,Ensival,2,,,1,1,121 m²,,,,,,Normal,,No,,No,,186 kWh/m²/year,,14/05/2035
verviers,3,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbc72059,Residence,290 000 €,Rue Aux Laines 60 4800 Verviers,60,Verviers,6,17 m²,23 m²,2,,188 m²,Yes,26 m²,South-west,,,Fully renovated,Super equipped,Yes,Double glass,No,,182 kWh/m²/year,44686 kWh/year,08/09/2028
verviers,3,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbc75094,Residence,319 000 €,"Rue de Jehanster, 50 4800 Verviers",50,Verviers,4,,,1,,204 m²,Yes,10 m²,,,,,,,,,,303 kWh/m²/year,61679 kWh/year,
verviers,3,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbc75255,Residence,260 000 €,Rue Nicolas Dubois 41 4800 Verviers,41,Verviers,4,13 m²,13 m²,1,2,145 m²,,,,,,Excellent,Fully equipped,Yes,Double glass,No,,247 kWh/m²/year,35863 kWh/year,07/04/2035
verviers,3,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbc75919,Residence,155 000 €,de la Cité 64 4800 Verviers,64,Verviers,4,,,,2,163 m²,Yes,,,,,To be renovated,,No,,No,,332 kWh/m²/year,,07/01/2035
verviers,3,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vwd13500,Residence,209 000 €,Rue de Mangombroux 191C 4800 Verviers,4800,Verviers,1,11 m²,,1,,82 m²,Yes,44 m²,South,,,Fully renovated,,Yes,Triple glass,,,147 kWh/m²/year,12263 kWh/year,
verviers,3,https://immovlan.be/en/detail/villa/for-sale/4800/ensival/vbc75103,Villa,375 000 €,"Avenue Edouard Cordonnier, 85 4800 Ensival",85,Ensival,4,,,1,,154 m²,Yes,63 m²,,,,,,No,,,,446 kWh/m²/year,,
verviers,3,https://immovlan.be/en/detail/villa/for-sale/4800/lambermont/vbc71434,Villa,Make offer from 425 000 €,Rue Léon Debatisse 8 4800 Lambermont,8,Lambermont,4,14 m²,15 m²,1,2,181 m²,Yes,50 m²,South-east,,1993,Excellent,Super equipped,Yes,Double glass,No,Yes,158 kWh/m²/year,,
verviers,4,https://immovlan.be/en/detail/apartment/for-sale/4800/petit-rechain/vbc63952,Apartment,247 000 €,Rue Bonvoisin 4800 Petit-Rechain,4800,Petit-Rechain,2,14 m²,12 m²,1,1,103 m²,Yes,8 m²,,,,New,Fully equipped,Yes,,Yes,,107 kWh/m²/year,11567 kWh/year,10/01/2033
verviers,4,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc65067,Apartment,139 000 €,Rue des Minières 3 1er 4800 Verviers,3,Verviers,2,,,1,,122 m²,,,,1,,To be renovated,,No,Double glass,No,,190 kWh/m²/year,,17/04/2035
verviers,4,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc67872,Apartment,229 000 €,Rue Renkin 33 14 4800 Verviers,33,Verviers,2,,,,1,100 m²,No,,,2,1967,,,,,Yes,,235 kWh/m²/year,23445 kWh/year,11/02/2028
verviers,4,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc69629,Apartment,145 000 €,Rue de Heusy 32 4800 Verviers,32,Verviers,2,15 m²,13 m²,1,1,91 m²,Yes,4 m²,,4,1978,To renovate,Fully equipped,Yes,Double glass,Yes,Yes,435 kWh/m²/year,44465 kWh/year,15/04/2035
verviers,4,https://immovlan.be/en/detail/duplex/for-sale/4800/verviers/vbc68357,Duplex,Make offer from 245 000 €,Rue des Prairies 15 A 4800 Verviers,15,Verviers,2,22 m²,15 m²,1,1,136 m²,Yes,20 m²,North-west,0,,Excellent,Super equipped,,Double glass,No,,112 kWh/m²/year,15165 kWh/year,06/12/2028
verviers,4,https://immovlan.be/en/detail/ground-floor/for-sale/4802/heusy/vbc59002,Ground,420 000 €,Rue Jean Gôme 39B 4802 Heusy,4802,Heusy,2,21 m²,16 m²,1,2,150 m²,Yes,34 m²,,0,2005,Normal,Fully equipped,Yes,Double glass,Yes,,163 kWh/m²/year,29797 kWh/year,
verviers,4,https://immovlan.be/en/detail/mixed-building/for-sale/4800/verviers/vbc64666,Mixed,295 000 €,Rue de Namur 21-23 4800 Verviers,4800,Verviers,4,,,1,3,174 m²,No,,,,,,,,,No,,,63343 kWh/year,21/08/2033
verviers,4,https://immovlan.be/en/detail/mixed-building/for-sale/4802/heusy/vbc69111,Mixed,Make offer from 305 000 €,Chaussée de Theux 60 4802 Heusy,60,Heusy,2,18 m²,15 m²,1,4,150 m²,,,,,1899,Normal,Partially equipped,Yes,Double glass,No,,349 kWh/m²/year,30026 kWh/year,18/04/2035
verviers,4,https://immovlan.be/en/detail/residence/for-sale/4800/ensival/vbc53200,Residence,245 000 €,Rue Moreau 6 4800 Ensival,6,Ensival,6,,,1,,198 m²,Yes,18 m²,,,,,,No,,,,284 kWh/m²/year,,
verviers,4,https://immovlan.be/en/detail/residence/for-sale/4800/ensival/vbc61566,Residence,99 000 €,En Mi-Ville 58 4800 Ensival,58,Ensival,1,12 m²,,1,2,52 m²,,,,,,Normal,Partially equipped,Yes,Double glass,,,391 kWh/m²/year,25010 kWh/year,01/04/2035
verviers,4,https://immovlan.be/en/detail/residence/for-sale/4800/lambermont/vbc58405,Residence,245 000 €,Rue Pierre David 89 4800 Lambermont,89,Lambermont,4,,,1,2,106 m²,No,,,,,,,,,No,,134 kWh/m²/year,16989 kWh/year,11/12/2033
verviers,4,https://immovlan.be/en/detail/residence/for-sale/4800/lambermont/vbc65778,Residence,Make offer from 379 000 €,"Rue du Calvaire 49
4800 Lambermont",49,Lambermont,3,14 m²,14 m²,1,1,200 m²,Yes,50 m²,,,1953,Fully renovated,Super equipped,Yes,Double glass,No,Yes,157 kWh/m²/year,42205 kWh/year,26/02/2035
verviers,4,https://immovlan.be/en/detail/residence/for-sale/4800/petit-rechain/vbc52133,Residence,215 000 €,Rue de Grand-Rechain 35 4800 Petit-Rechain,35,Petit-Rechain,4,20 m²,18 m²,1,2,175 m²,Yes,17 m²,South,,1895,To be renovated,,Yes,Double glass,No,,366 kWh/m²/year,76783 kWh/year,09/03/2035
verviers,4,https://immovlan.be/en/detail/residence/for-sale/4800/petit-rechain/vbc60437,Residence,250 000 €,"Rue Bonvoisin 151
4800 Petit-Rechain",151,Petit-Rechain,2,,,1,2,130 m²,Yes,,,,,Normal,,Yes,Double glass,No,,497 kWh/m²/year,62167 kWh/year,
verviers,4,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbc08341,Residence,Make offer from 140 000 €,Rue des Hautes Mézelles 7 4800 Verviers,7,Verviers,4,24 m²,24 m²,1,2,133 m²,Yes,,,,,Fully renovated,Partially equipped,,Double glass,No,,423 kWh/m²/year,56278 kWh/year,18/05/2026
verviers,4,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbc71421,Residence,Make offer from 99 000 €,Rue Gris Chevris 23 4800 Verviers,23,Verviers,3,14 m²,12 m²,1,2,100 m²,,,,,1930,To be renovated,,Yes,Double glass,No,Yes,542 kWh/m²/year,69594 kWh/year,28/03/2028
verviers,4,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vwd13289,Residence,Make offer from 395 000 €,Avenue Peltzer 18 4800 Verviers,18,Verviers,7,10 m²,20 m²,2,,238 m²,,,,,,,Fully equipped,Yes,Double glass,,,,,06/09/2033
verviers,4,https://immovlan.be/en/detail/residence/for-sale/4801/stembert/vbc60356,Residence,215 000 €,Rue de Jalhay 3 4801 Stembert,3,Stembert,3,,,1,,150 m²,Yes,,,,,To renovate,,Yes,Double glass,No,,351 kWh/m²/year,,
verviers,4,https://immovlan.be/en/detail/residence/for-sale/4801/stembert/vbc66113,Residence,168 000 €,rue Surdents 80 4801 Stembert,80,Stembert,3,15 m²,17 m²,1,,150 m²,Yes,,,,,To be renovated,,,Double glass,No,,435 kWh/m²/year,103447 kWh/year,17/10/2019
verviers,4,https://immovlan.be/en/detail/studio/for-sale/4801/stembert/vbc69112,Studio,Make offer from 99 000 €,Rue du Tombeux 45 4801 Stembert,45,Stembert,1,10 m²,,1,1,48 m²,,,,3,1991,Normal,Fully equipped,Yes,Double glass,Yes,Yes,357 kWh/m²/year,17097 kWh/year,18/04/2035
verviers,5,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc43607,Apartment,Make offer from 174 000 €,Rue du Palais 121 4800 Verviers,121,Verviers,3,15 m²,15 m²,1,1,96 m²,Yes,25 m²,South-east,6,1977,Normal,Partially equipped,Yes,Double glass,Yes,Yes,364 kWh/m²/year,40214 kWh/year,28/02/2035
verviers,5,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc51523,Apartment,125 000 €,Rue du Manège 14 401 4800 Verviers,14,Verviers,2,,,1,1,73 m²,No,,,4,,,,,,Yes,,1007 kWh/m²/year,82777 kWh/year,26/04/2026
verviers,5,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc51924,Apartment,Make offer from 195 000 €,Rue du Palais 78 4800 Verviers,78,Verviers,3,12 m²,12 m²,1,2,102 m²,,,,0,2017,Normal,Fully equipped,,Double glass,Yes,Yes,114 kWh/m²/year,11523 kWh/year,11/09/2027
verviers,5,https://immovlan.be/en/detail/apartment/for-sale/4800/verviers/vbc52172,Apartment,169 000 €,Place d'Arles 15 4800 Verviers,15,Verviers,2,,,,1,72 m²,Yes,5 m²,,3,1976,,,,,Yes,,205 kWh/m²/year,,11/04/2033
verviers,5,https://immovlan.be/en/detail/duplex/for-sale/4801/stembert/vbc52342,Duplex,164 000 €,Rue des Sports 153 4801 Stembert,153,Stembert,3,15 m²,16 m²,1,1,110 m²,Yes,40 m²,,,,Normal,Fully equipped,,Double glass,No,,186 kWh/m²/year,23008 kWh/year,17/11/2033
verviers,5,https://immovlan.be/en/detail/mansion/for-sale/4800/verviers/vbc50486,Mansion,2 800 000 €,Rue Grétry 1 4800 Verviers,1,Verviers,,,,,,2818 m²,,,,,1893,,,,,,,,,
verviers,5,https://immovlan.be/en/detail/master-house/for-sale/4802/heusy/vbc50520,Master,550 000 €,Avenue de Spa 5 4802 Heusy,5,Heusy,7,,,,3,350 m²,Yes,70 m²,,,,Normal,,,,No,,,,
verviers,5,https://immovlan.be/en/detail/mixed-building/for-sale/4800/verviers/vbc49449,Mixed,1 300 000 €,Place Verte 4800 Verviers,4800,Verviers,,,,,,1400 m²,,,,,,To renovate,,,,Yes,,,,
verviers,5,https://immovlan.be/en/detail/mixed-building/for-sale/4802/heusy/vbc55869,Mixed,399 000 €,4802 Heusy,4802,Heusy,1,,,2,,180 m²,Yes,,,,1960,Normal,,,,No,,141 kWh/m²/year,9719 kWh/year,14/03/2035
verviers,5,https://immovlan.be/en/detail/residence/for-sale/4800/ensival/vbc44092,Residence,215 000 €,Rue Moreau 53 4800 Ensival,53,Ensival,5,,,1,,249 m²,Yes,17 m²,,,,,,,,,,367 kWh/m²/year,91529 kWh/year,
verviers,5,https://immovlan.be/en/detail/residence/for-sale/4800/lambermont/vbc42841,Residence,149 000 €,Rue Robinfosse 1 4800 Lambermont,1,Lambermont,3,12 m²,13 m²,1,1,100 m²,Yes,38 m²,,,,To renovate,,,Double glass,,,454 kWh/m²/year,60279 kWh/year,07/10/2034
verviers,5,https://immovlan.be/en/detail/residence/for-sale/4800/lambermont/vbc52807,Residence,Make offer from 149 000 €,Rue Francval 26 4800 Lambermont,26,Lambermont,2,20 m²,13 m²,1,1,127 m²,Yes,30 m²,,,,To be renovated,,,Double glass,No,,564 kWh/m²/year,79567 kWh/year,24/03/2035
verviers,5,https://immovlan.be/en/detail/residence/for-sale/4800/petit-rechain/vbb28194,Residence,Make offer from 390 000 €,Rue de la Moinerie 37 4800 Petit-Rechain,37,Petit-Rechain,4,24 m²,16 m²,1,2,234 m²,Yes,80 m²,South,,1850,Normal,Fully equipped,Yes,Double glass,No,,254 kWh/m²/year,64308 kWh/year,03/05/2034
verviers,5,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbb96477,Residence,79 900 €,Montagne de l'Invasion 55 4800 Verviers,55,Verviers,1,16 m²,,1,1,46 m²,,,,,1850,Normal,,,,No,,920 kWh/m²/year,41853 kWh/year,11/11/2034
verviers,5,https://immovlan.be/en/detail/residence/for-sale/4800/verviers/vbc45132,Residence,248 000 €,Rue des Minières 39 4800 Verviers,39,Verviers,3,,,1,3,200 m²,Yes,18 m²,,,,,,,,No,,,,
